,0,1,2,3,4,5,6,7,8
0,200,200,200,200,200,,,,
1,200,200,200,200,200,,,,
2,407,200,193,162,38,,,,
3,200,200,200,200,200,,,,
4,200,200,200,200,200,,,,
5,200,200,200,200,200,,,,
6,200,200,200,200,200,,,,
7,200,200,200,200,200,,,,
8,200,200,200,200,200,,,,
9,200,200,200,200,200,,,,
10,200,200,200,200,199,1.0,,,
11,200,200,200,200,123,77.0,,,
12,200,200,200,200,124,76.0,,,
13,200,200,200,200,180,20.0,,,
14,200,200,200,200,111,89.0,,,
15,399,200,200,144,56,1.0,,,
16,200,200,200,200,167,33.0,,,
17,200,200,200,200,118,82.0,,,
18,399,200,200,146,54,1.0,,,
19,200,200,200,200,162,38.0,,,
20,200,200,200,200,193,7.0,,,
21,359,200,200,200,40,1.0,,,
22,200,200,200,200,135,65.0,,,
23,200,200,200,200,189,11.0,,,
24,200,200,200,200,116,84.0,,,
25,201,200,200,200,145,54.0,,,
26,200,200,200,200,177,23.0,,,
27,200,200,200,200,114,86.0,,,
28,200,200,200,200,110,90.0,,,
29,200,200,200,200,121,79.0,,,
30,200,200,200,200,101,99.0,,,
31,217,200,200,199,98,85.0,1.0,,
32,200,200,200,200,107,51.0,42.0,,
33,200,200,200,190,151,49.0,10.0,,
34,200,200,200,200,89,63.0,48.0,,
35,200,200,200,200,85,83.0,32.0,,
36,200,200,200,200,105,49.0,46.0,,
37,200,200,200,200,79,76.0,45.0,,
38,200,200,200,200,114,68.0,18.0,,
39,200,200,200,199,116,84.0,1.0,,
40,200,200,200,200,68,68.0,64.0,,
41,200,200,200,200,105,78.0,17.0,,
42,200,200,200,200,95,54.0,51.0,,
43,200,200,200,200,80,69.0,51.0,,
44,200,200,200,200,85,61.0,54.0,,
45,200,200,200,200,68,63.0,39.0,30.0,
46,377,200,200,19,8,7.0,7.0,1.0,
47,200,200,200,200,85,54.0,35.0,26.0,
48,200,200,199,168,105,58.0,38.0,32.0,
49,200,200,200,200,82,54.0,36.0,27.0,1.0
