,Iteration Number,Elapsed Time,Estimated Number of Classes,Number of Datas Distributed to Each Classes
0,0.0,150.4895920753479,5.0,[ 200.  200.  200.  200.  200.]
0,1.0,168.17869186401367,7.0,[  98.  200.    1.  200.  199.   85.  217.]
0,2.0,148.92913508415222,6.0,[ 200.  200.    1.  200.  199.  200.]
0,3.0,146.9649782180786,6.0,[ 123.  200.  200.  200.  200.   77.]
0,4.0,150.16844511032104,6.0,[ 200.  124.  200.  200.  200.   76.]
0,5.0,183.056254863739,8.0,[  30.   68.   39.  200.  200.  200.  200.   63.]
0,6.0,127.27962017059326,5.0,[ 200.  200.  200.  200.  200.]
0,7.0,154.83254718780518,6.0,[ 200.   20.  200.  200.  180.  200.]
0,8.0,140.70159316062927,6.0,[  89.  200.  200.  200.  111.  200.]
0,9.0,151.52915596961975,6.0,[ 144.   56.  200.    1.  200.  399.]
0,10.0,123.4781141281128,6.0,[ 200.  167.  200.  200.   33.  200.]
0,11.0,147.8442668914795,7.0,[ 107.   51.  200.  200.  200.  200.   42.]
0,12.0,148.94028115272522,7.0,[ 190.  200.  200.  200.  151.   10.   49.]
0,13.0,184.388906955719,9.0,[  36.   54.  200.   27.  200.  200.  200.    1.   82.]
0,14.0,142.2411561012268,6.0,[  82.  200.  200.  200.  200.  118.]
0,15.0,172.56064701080322,7.0,[  89.   63.  200.  200.  200.  200.   48.]
0,16.0,191.66230297088623,8.0,[   7.    1.    8.    7.   19.  200.  200.  377.]
0,17.0,148.040917634964,7.0,[  83.  200.  200.  200.  200.   32.   85.]
0,18.0,176.53954100608826,8.0,[  26.   35.   54.  200.  200.  200.  200.   85.]
0,19.0,121.95736122131348,5.0,[  38.  407.  200.  162.  193.]
0,20.0,156.37398028373718,7.0,[  49.   46.  200.  200.  200.  200.  105.]
0,21.0,155.52450513839722,6.0,[  54.    1.  146.  200.  200.  399.]
0,22.0,127.3928542137146,5.0,[ 200.  200.  200.  200.  200.]
0,23.0,136.292160987854,6.0,[ 200.  200.  200.  200.   38.  162.]
0,24.0,155.299063205719,7.0,[  76.  200.  200.  200.  200.   45.   79.]
0,25.0,127.12094497680664,5.0,[ 200.  200.  200.  200.  200.]
0,26.0,124.45759105682373,6.0,[ 200.  193.  200.  200.    7.  200.]
0,27.0,161.55092239379883,6.0,[  40.  200.  200.    1.  200.  359.]
0,28.0,120.37693119049072,5.0,[ 200.  200.  200.  200.  200.]
0,29.0,152.81397104263306,7.0,[ 114.  200.   68.  200.  200.   18.  200.]
0,30.0,158.89270329475403,7.0,[  84.    1.  200.  200.  199.  200.  116.]
0,31.0,154.95531487464905,7.0,[ 200.   68.   64.  200.  200.  200.   68.]
0,32.0,141.00621676445007,7.0,[ 105.  200.  200.  200.  200.   17.   78.]
0,33.0,127.7825698852539,6.0,[ 200.  200.  200.  200.   65.  135.]
0,34.0,112.3412537574768,5.0,[ 200.  200.  200.  200.  200.]
0,35.0,159.91492366790771,7.0,[  95.  200.   54.  200.  200.  200.   51.]
0,36.0,115.24460172653198,5.0,[ 200.  200.  200.  200.  200.]
0,37.0,130.7026002407074,6.0,[ 200.  200.   11.  189.  200.  200.]
0,38.0,138.35211086273193,6.0,[ 200.  116.  200.  200.  200.   84.]
0,39.0,112.01178002357483,5.0,[ 200.  200.  200.  200.  200.]
0,40.0,136.222727060318,6.0,[ 145.  200.   54.  200.  200.  201.]
0,41.0,151.61271715164185,7.0,[ 200.   51.   69.  200.  200.  200.   80.]
0,42.0,138.53859567642212,6.0,[  23.  200.  200.  200.  177.  200.]
0,43.0,120.7179901599884,5.0,[ 200.  200.  200.  200.  200.]
0,44.0,133.92881798744202,6.0,[  86.  200.  200.  200.  200.  114.]
0,45.0,129.86975383758545,6.0,[ 200.  200.  200.   90.  200.  110.]
0,46.0,145.1724579334259,7.0,[  85.   61.  200.  200.  200.  200.   54.]
0,47.0,1646.1073651313782,6.0,[  79.  200.  200.  200.  200.  121.]
0,48.0,179.39629197120667,8.0,[  58.  105.   32.  200.  200.  199.  168.   38.]
0,49.0,133.48944282531738,6.0,[ 200.   99.  200.  200.  200.  101.]
